Producto,Fecha,Cantidad,Precio
Manzana,2022-01-01,10,15.5
Naranja,2022-02-05,8,12.75
Plátano,2022-03-12,15,18
Pera,2022-04-20,5,9.99
Sandía,2022-05-15,12,17.25
Melón,2022-06-03,9,13.5
Papaya,2022-07-10,7,10.25
Fresa,2022-08-25,6,8.75
Uva,2022-09-30,11,16.8
Piña,2022-10-15,9,14.5
Cereza,2022-11-20,4,6.99
Mango,2022-12-31,13,19.5
Frutilla,2022-01-01,10,15.5
Naranja,2022-02-05,8,12.75
Tomate,2022-03-12,15,18
Lechuga,2022-04-20,5,9.99
Pepino,2022-05-15,12,17.25
Zanahoria,2022-06-03,9,13.5
Papa,2022-07-10,7,10.25
Cebolla,2022-08-25,6,8.75
Palta,2022-09-30,11,16.8
Ajo,2022-10-15,9,14.5
Zapallo,2022-11-20,4,6.99
Apio,2022-12-31,13,19.5
Naranja,2022-01-01,10,15.5
Uva,2022-02-05,8,12.75
Piña,2022-03-12,15,18
Morrón rojo,2022-04-20,5,9.99
Morrón verde,2022-05-15,12,17.25
